Čovjek,ChatGPT,Claude,Gemini
0.409308256,0.561151079,0.517857143,0.627573859
0.280784599,0.353783719,0.415832971,0.434165721
0.413402062,0.344512195,0.475531389,0.519895629
0.411735941,0.526124819,0.501411632,0.557377049
0.479827089,0.538167939,0.489330747,0.520215633
0.462074303,0.542119565,0.494680851,0.550623053
0.37021669,0.528791565,0.473257699,0.606773283
0.446642374,0.485919712,0.461906835,0.475743987
0.516736402,0.50435949,0.519798416,0.554499366
0.541465378,0.511912866,0.558844765,0.574183976
0.437140509,0.551807229,0.494882293,0.57112223
0.40642799,0.567669173,0.432841615,0.545363908
0.467265725,0.508241758,0.532432432,0.672131148
0.504166667,0.506058446,0.479378682,0.547330961
0.447940503,0.62007874,0.519230769,0.568846816
0.364403529,0.53800738,0.488131467,0.43974175
0.413615266,0.546502058,0.462783172,0.591054313
0.64261745,0.502635046,0.568055556,0.570441989
0.443108974,0.598150051,0.448315912,0.520576132
0.369362364,0.635721493,0.402434783,0.45849546
0.387488329,0.590558767,0.509313725,0.527036277
0.421828909,0.499629355,0.528522337,0.571668064
0.280953837,0.522406384,0.432569975,0.456601467
0.463229308,0.488958991,0.490131579,0.569044006
0.36961174,0.51149954,0.364936793,0.442553191
0.434892541,0.508287293,0.415437561,0.52108649
0.361608545,0.51895535,0.484848485,0.567982456
0.52,0.499668655,0.45826137,0.533980583
0.402868725,0.504464286,0.385356455,0.485119048
0.438396833,0.505211953,0.520847121,0.591698842
0.268490808,0.484536082,0.520214321,0.576106195
0.475959203,0.553983619,0.525756771,0.63672391
0.512369434,0.5029036,0.490802676,0.606573705
0.494080997,0.595412844,0.505991285,0.586888658
0.555373257,0.565986395,0.58427762,0.534050179
0.359411765,0.516981132,0.468325792,0.511523688
0.553551297,0.595860566,0.484180249,0.519732848
0.418426803,0.523378582,0.466243508,0.57029703
0.394589552,0.53511236,0.489201878,0.527553763
0.44765343,0.562611807,0.456944444,0.573822825
0.43047732,0.579025111,0.54887218,0.603616134
0.281701776,0.533240028,0.477186312,0.601231717
0.420292887,0.583185841,0.491590214,0.537796976
0.37326645,0.62407603,0.487619808,0.525682183
0.47596607,0.56201882,0.466785555,0.514807813
0.498305085,0.556503198,0.43059593,0.574979952
0.418256833,0.537688442,0.526427061,0.502005348
0.354075372,0.58131177,0.410737669,0.479578393
0.498018494,0.512483574,0.509638554,0.520599251
0.414344262,0.485689506,0.399450717,0.518565135
0.437836572,0.540130152,0.440775898,0.627954779
0.400502986,0.483590087,0.383820998,0.511871508
0.533282326,0.508757298,0.476461459,0.535333333
0.289346247,0.514690983,0.386720322,0.577526132
0.384452894,0.533861038,0.482612782,0.58643507
0.39752876,0.558265583,0.546496815,0.63029661
0.594666667,0.495114007,0.548682703,0.605982906
0.52443134,0.54989154,0.461789376,0.560458959
0.450053135,0.623486683,0.475312314,0.656818182
0.412079883,0.521335807,0.380910296,0.59908362
0.4679461,0.545154185,0.417301415,0.599403579
0.459584296,0.481239804,0.403952206,0.574234093
0.374429224,0.49911032,0.451707892,0.650972364
0.497792494,0.451903114,0.483853311,0.664570231
0.381036662,0.50148368,0.480167811,0.6262354
0.477050958,0.553439153,0.514391144,0.68245614
0.378230088,0.474153298,0.523110386,0.661931818
0.366841942,0.563218391,0.534054054,0.671150972
0.410956175,0.538955087,0.495567376,0.608326253
0.533022015,0.530653266,0.473736373,0.616093881
,0.517090272,,
,0.548858447,,
